Pais;flujo_migratorio;cantidad_sedes
AGO;2;1
ARE;78;1
ARG;0;1
ARM;-1,497;1
AUS;10,023;2
AUT;-2,115;1
AZE;-2;1
BEL;-406;2
BGD;0;1
BGR;-608;1
BOL;-209,601;7
BRA;-8,871;11
BRB;15;1
CAN;12,391;4
CHE;-461;2
CHL;-173,391;7
CHN;-3,832;6
COL;-1,610;1
CRI;745;1
CUB;-2,314;1
CZE;-1,181;1
DEU;-5,308;4
DNK;573;1
DOM;1,697;1
DZA;0;1
ECU;148;2
EGY;64;1
ESP;-53,281;7
ETH;0;1
FIN;173;1
FRA;10,667;2
GRC;-2,159;1
GTM;48;1
GUY;40;1
HND;139;1
HTI;9;1
HUN;-1,484;1
IDN;17;1
IND;-337;2
IRL;265;1
IRN;-276;1
ISR;35,519;2
ITA;-203,844;4
JAM;28;1
JPN;-2,287;1
KEN;0;1
KOR;0;1
KWT;37;1
LBN;-678;1
LBY;3;1
LCA;3;1
MAR;0;1
MEX;2,954;3
MOZ;180;1
MYS;56;1
NGA;618;1
NIC;170;1
NLD;1,203;1
NOR;544;1
NZL;382;1
PAK;0;1
PAN;525;1
PER;-87,596;2
PHL;638;1
POL;-14,279;1
PRT;-7,925;1
PRY;-267,404;4
PSE;175;1
QAT;1,340;1
ROU;-2,567;1
RUS;-2,349;1
SAU;10;1
SEN;18;1
SGP;32;1
SLV;163;1
SRB;0;1
SUR;324;1
SWE;1,927;1
SYR;-2,573;1
THA;594;1
TTO;21;1
TUN;7;1
TUR;-1,392;2
UKR;-9,498;1
URY;-94,023;8
USA;122,872;9
VEN;5,665;1
VNM;16;1
ZAF;1,004;2
